system:index,lat,lon,mndwi,ndci,ndvi,.geo
102,46.86404,-95.02542,-0.5054545454545455,0.4180353269290363,0.6805579180132676,"{""type"":""Point"",""coordinates"":[-95.02542,46.86404000000001]}"
103,42.91108,-70.82708,0.0979020979020979,0.037037037037037035,0.04960835509138381,"{""type"":""Point"",""coordinates"":[-70.82708,42.91107999999999]}"
104,27.11872,-81.15731,-0.6628630705394191,0.43488372093023253,0.26834776063229204,"{""type"":""Point"",""coordinates"":[-81.15731,27.118720000000003]}"
105,43.61358,-92.96947,-0.2748073780060706,0.0337751175716118,0.23129251700680273,"{""type"":""Point"",""coordinates"":[-92.96947,43.61357999999999]}"
106,43.76088,-74.91592,-0.20595144870790916,0.07722772277227723,0.607413647851727,"{""type"":""Point"",""coordinates"":[-74.91592,43.76088]}"
107,43.79004,-89.60018,-0.5859576664945793,0.4305694305694306,0.7375690607734806,"{""type"":""Point"",""coordinates"":[-89.60018,43.790040000000005]}"
108,38.80842,-77.29678,-0.5458872920361418,0.33836133013369896,0.7057428426223954,"{""type"":""Point"",""coordinates"":[-77.29678,38.80842]}"
109,40.04385,-104.82373,-0.15682604143532478,-0.07873684210526316,0.05924112607099148,"{""type"":""Point"",""coordinates"":[-104.82373,40.04385]}"
110,32.43011,-85.65067,-0.5961748633879781,0.31488203266787657,0.5931015898679601,"{""type"":""Point"",""coordinates"":[-85.65067,32.43011]}"
111,38.6386,-75.3161,-0.46293245469522243,0.2334983498349835,0.6244188397008288,"{""type"":""Point"",""coordinates"":[-75.3161,38.6386]}"
112,42.43916,-122.01224,0.9337316675719719,0.10980857694019894,-0.4531581178465451,"{""type"":""Point"",""coordinates"":[-122.01223999999999,42.43916]}"
113,34.97582,-96.24075,-0.03401777505363163,0.07635333841629452,0.05749851807943092,"{""type"":""Point"",""coordinates"":[-96.24075,34.97581999999999]}"
114,44.9321,-93.6691,-0.17923664122137403,0.0046022353714661405,0.06311881188118812,"{""type"":""Point"",""coordinates"":[-93.6691,44.932100000000005]}"
115,26.72273,-81.69102,-0.2779187817258883,0.31580981832238114,0.6936126016963822,"{""type"":""Point"",""coordinates"":[-81.69102,26.722729999999995]}"
116,41.42512,-85.5373,-0.5475923852183651,0.19099826889786498,0.41607663473552686,"{""type"":""Point"",""coordinates"":[-85.5373,41.42512000000001]}"
117,44.84061,-93.6825,-0.08955223880597014,0.16795865633074936,0.1806615776081425,"{""type"":""Point"",""coordinates"":[-93.68250000000002,44.84061]}"
118,30.8163,-88.0711,-0.43655913978494626,0.1651829871414441,0.23929698062190174,"{""type"":""Point"",""coordinates"":[-88.0711,30.8163]}"
119,42.79547,-72.00792,0.5014492753623189,0.005420054200542005,-0.12232415902140673,"{""type"":""Point"",""coordinates"":[-72.00792000000001,42.795469999999995]}"
120,40.57482,-109.61822,-0.46759744037230944,0.38373051117698037,0.6972034259215446,"{""type"":""Point"",""coordinates"":[-109.61822,40.57482]}"
121,30.7093,-84.7241,-0.2547397872157662,0.02861205306009596,0.2830675822551293,"{""type"":""Point"",""coordinates"":[-84.7241,30.709299999999992]}"
122,25.81508,-80.17527,0.9125,-0.3135593220338983,-1.0,"{""type"":""Point"",""coordinates"":[-80.17527,25.81508]}"
123,41.44306,-82.95278,0.9163043478260869,0.08113091579594345,-0.2860215053763441,"{""type"":""Point"",""coordinates"":[-82.95278,41.44306]}"
124,36.18278,-78.87889,-0.455188679245283,0.4351279788172992,0.7221016066000868,"{""type"":""Point"",""coordinates"":[-78.87889,36.18278]}"
125,33.4297,-85.012,-0.18912529550827423,-0.06270077334919691,0.16686876224232813,"{""type"":""Point"",""coordinates"":[-85.012,33.42969999999999]}"
126,37.50651,-94.56776,-0.36461636017755233,0.03908794788273615,0.31712962962962965,"{""type"":""Point"",""coordinates"":[-94.56776,37.50651]}"
127,34.492,-96.992,-0.4698952879581152,0.16478555304740405,0.5013477088948787,"{""type"":""Point"",""coordinates"":[-96.992,34.492]}"
128,40.28171,-105.08494,-0.5066425120772947,0.2537878787878788,0.6247619047619047,"{""type"":""Point"",""coordinates"":[-105.08494,40.28171]}"
129,43.65651,-93.00322,-0.4693492612386042,0.19665271966527198,0.5838150289017341,"{""type"":""Point"",""coordinates"":[-93.00322,43.65651]}"
130,36.23912,-81.67036,0.29916567342073896,-0.07456140350877193,-0.30666666666666664,"{""type"":""Point"",""coordinates"":[-81.67036,36.23912]}"
131,46.11584,-93.73356,-0.40610195186659087,0.1027142096860032,0.5475040257648953,"{""type"":""Point"",""coordinates"":[-93.73356,46.11584]}"
132,32.4061,-81.01872,-0.5064935064935064,0.36124911284599004,0.5978552278820375,"{""type"":""Point"",""coordinates"":[-81.01872,32.4061]}"
133,43.61662,-70.25116,-0.6028464927143341,0.3956916099773243,0.7186592768540512,"{""type"":""Point"",""coordinates"":[-70.25116,43.61662]}"
134,39.00208,-76.89098,-0.3510480277273477,0.07628765792031098,0.5226017076845806,"{""type"":""Point"",""coordinates"":[-76.89098,39.00208]}"
135,41.70075,-73.2777,0.5085470085470085,-0.023017902813299233,-0.6260162601626016,"{""type"":""Point"",""coordinates"":[-73.2777,41.700750000000006]}"
136,47.57193,-95.09033,-0.4515948517067711,0.25315904139433554,0.6818266196398738,"{""type"":""Point"",""coordinates"":[-95.09033,47.57193]}"
137,43.733,-70.2048,-0.056798986486486534,0.18571000898113965,-0.01568334578043316,"{""type"":""Point"",""coordinates"":[-70.2048,43.733]}"
138,42.97384,-85.02497,-0.4320388349514563,0.09404659188955997,0.4030699260943718,"{""type"":""Point"",""coordinates"":[-85.02497,42.97384000000001]}"
139,30.46232,-87.27284,-0.16666666666666666,0.09473684210526316,-0.23741007194244604,"{""type"":""Point"",""coordinates"":[-87.27284,30.462320000000002]}"
140,38.82422,-75.30861,-0.06033232965317278,-0.01791778896826326,0.10428689200329758,"{""type"":""Point"",""coordinates"":[-75.30861,38.82422]}"
141,34.90588,-106.68618,0.08418425232584524,0.001556824078879072,-0.10033241591307147,"{""type"":""Point"",""coordinates"":[-106.68618,34.905879999999996]}"
142,40.70856,-111.91993,-0.5677530017152659,0.31149301825993553,0.23871733966745842,"{""type"":""Point"",""coordinates"":[-111.91993,40.70856]}"
143,39.10613,-108.60772,-0.27470613844144537,0.13921217547000894,0.08537455410225922,"{""type"":""Point"",""coordinates"":[-108.60772000000001,39.10613]}"
144,44.01837,-117.39996,0.7755102040816326,0.029508196721311476,-0.5376623376623376,"{""type"":""Point"",""coordinates"":[-117.39996,44.01837]}"
145,45.27712,-94.95576,-0.4161490683229814,0.21232306411323898,0.6217512994802079,"{""type"":""Point"",""coordinates"":[-94.95576,45.277120000000004]}"
146,30.73725,-95.09164,0.8556338028169014,0.07758620689655173,-0.5322195704057279,"{""type"":""Point"",""coordinates"":[-95.09164,30.737250000000007]}"
147,28.9567,-80.8819,0.3829787234042553,-0.043356643356643354,-0.15838509316770186,"{""type"":""Point"",""coordinates"":[-80.8819,28.956700000000005]}"
148,41.50032,-111.94189,0.09627264524189633,-0.03694999347173266,0.0031379440190786707,"{""type"":""Point"",""coordinates"":[-111.94189000000001,41.50032]}"
149,35.89075,-106.49589,-0.31785611923187157,0.056648777579010136,0.37936445664966656,"{""type"":""Point"",""coordinates"":[-106.49589000000002,35.89075]}"
150,37.86972,-122.52811,-0.5895339329517579,0.3826274228284279,0.695898161244696,"{""type"":""Point"",""coordinates"":[-122.52811,37.86972]}"
151,41.3333,-85.76567,0.4392523364485981,-0.009259259259259259,-0.05825242718446602,"{""type"":""Point"",""coordinates"":[-85.76567,41.3333]}"
152,41.55841,-75.89464,-0.10829817158931083,0.06666666666666667,0.3862559241706161,"{""type"":""Point"",""coordinates"":[-75.89464,41.55841]}"
153,44.63051,-122.92429,-0.014613470929696792,-0.06719085060757686,0.0774953349563154,"{""type"":""Point"",""coordinates"":[-122.92429,44.63051]}"
154,40.33463,-104.86848,-0.49758656873032525,0.18695941450432468,0.3214880621876735,"{""type"":""Point"",""coordinates"":[-104.86848,40.33463]}"
155,44.96497,-89.13822,-0.44744744744744747,0.2746901239504198,0.5666507405637841,"{""type"":""Point"",""coordinates"":[-89.13822,44.96497000000001]}"
156,46.37517,-93.86214,0.2796208530805687,-0.0658682634730539,-0.09876543209876543,"{""type"":""Point"",""coordinates"":[-93.86214,46.37517]}"
157,40.82034,-79.53143,0.2523191094619666,0.020496224379719527,0.018378378378378378,"{""type"":""Point"",""coordinates"":[-79.53143000000001,40.820339999999995]}"
158,47.15966,-94.75393,0.7389033942558747,0.01276595744680851,-0.01978021978021978,"{""type"":""Point"",""coordinates"":[-94.75393,47.159659999999995]}"
159,42.37139,-71.27528,-0.2177505330490405,0.08647228963728844,0.270854770658702,"{""type"":""Point"",""coordinates"":[-71.27528,42.37139]}"
160,36.56445,-93.47813,0.46060606060606063,-0.10047846889952153,-0.1794871794871795,"{""type"":""Point"",""coordinates"":[-93.47813,36.56445]}"
161,39.26178,-75.2063,0.8321678321678322,-0.025911286780852,-0.391304347826087,"{""type"":""Point"",""coordinates"":[-75.2063,39.261779999999995]}"
162,35.99361,-92.70174,-0.48877209746774963,0.216538789428815,0.47605473204104903,"{""type"":""Point"",""coordinates"":[-92.70174,35.99361]}"
163,40.34873,-104.6778,-0.31946607341490546,-0.011776600325775623,0.17679675837065473,"{""type"":""Point"",""coordinates"":[-104.67780000000002,40.34873]}"
164,28.76871,-82.58325,-0.4811320754716981,0.4714003944773176,0.7881422924901186,"{""type"":""Point"",""coordinates"":[-82.58325,28.76871]}"
165,28.55833,-82.675,0.8248974008207934,-0.1099290780141844,-0.7405004633920297,"{""type"":""Point"",""coordinates"":[-82.675,28.558329999999998]}"
166,33.55163,-86.9674,0.061855670103092786,-0.14285714285714285,0.1022530329289428,"{""type"":""Point"",""coordinates"":[-86.9674,33.55163]}"
167,40.10861,-106.41333,-0.4500970873786408,0.14247669773635152,0.408812729498164,"{""type"":""Point"",""coordinates"":[-106.41333000000002,40.10861]}"
168,48.63753,-116.8754,-0.5606850335070737,0.51440329218107,0.8095750403442711,"{""type"":""Point"",""coordinates"":[-116.87540000000001,48.637530000000005]}"
169,29.53502,-94.9695,0.8648648648648649,-0.020964360587002098,-0.5112490302560124,"{""type"":""Point"",""coordinates"":[-94.9695,29.535019999999992]}"
170,41.3263,-83.54396,-0.42764064653552186,0.029426601647889693,0.3401920438957476,"{""type"":""Point"",""coordinates"":[-83.54396,41.3263]}"
171,47.629,-95.116,0.38924050632911394,-0.0046801872074883,-0.2627450980392157,"{""type"":""Point"",""coordinates"":[-95.116,47.629000000000005]}"
