avg_temp_max,avg_precip,soil_temp_surface,soil_temp_deep,soil_moisture_surface,soil_moisture_deep,lat,lon,elevation,dist_to_coast,ndci,ndvi,mndwi
27.5,3.76,23.7,22.2,0.272,0.276,41.3263,-83.54396,204.0,300.6,0.0294266016478896,0.3401920438957476,-0.4276406465355218
23.7,5.57,18.7,17.6,0.23,0.233,47.629,-95.116,428.0,390.9,-0.0046801872074883,-0.2627450980392157,0.3892405063291139
26.1,2.2,20.6,18.6,0.134,0.146,46.50134,-101.86412,694.0,916.2,0.1738525730180806,0.517987557479037,-0.5151515151515151
29.4,6.16,24.4,22.9,0.19,0.195,40.37884,-74.94836,27.0,87.7,0.2467371037911746,0.6659316427783903,-0.4972972972972973
26.8,8.75,22.3,20.8,0.282,0.284,41.6057,-85.54302,268.0,171.2,0.215510812826249,0.5861526357199056,-0.1945426983324911
32.7,2.09,29.8,29.0,0.19,0.185,28.53169,-82.61811,17.0,215.8,-0.0591286307053941,0.2209080503624571,-0.1849056603773584
27.5,3.22,23.5,22.2,0.285,0.29,40.02858,-85.2999,325.0,268.2,0.3677717810331534,0.376425855513308,0.3704789833822092
29.3,3.76,24.4,23.2,0.291,0.294,39.524,-91.6478,181.0,418.6,-0.0252225519287833,-0.2484191508581752,0.6584564860426929
33.6,5.19,28.4,27.7,0.146,0.147,30.36111,-83.13528,36.0,137.9,0.3171296296296296,0.7397441552712837,-0.5616438356164384
32.7,2.16,26.5,25.1,0.204,0.209,36.20021,-78.88615,128.0,239.8,0.0775401069518716,0.3326885880077369,-0.3088092933204259
30.2,0.03,23.5,21.3,0.047,0.096,39.01852,-119.71295,1488.0,278.1,0.0467829577533737,0.164626472943599,-0.3314222712238148
25.0,0.38,18.9,16.9,0.203,0.198,48.40378,-93.68944,339.0,286.6,0.316017316017316,0.4808324205914567,-0.5023923444976076
28.8,0.99,22.5,20.7,0.145,0.161,45.00914,-106.83594,1049.0,1220.1,0.0411790203727785,-0.3620689655172414,-0.1091882983106716
31.9,0.04,24.0,21.8,0.123,0.161,40.92579,-111.90022,1285.0,954.4,0.1254295532646048,0.3389610389610389,-0.4416349151368202
27.9,0.15,19.8,17.4,0.087,0.108,40.41135,-111.32129,1954.0,942.9,0.1188405797101449,0.3899082568807339,-0.2747580044676098
24.1,5.35,20.8,18.3,0.224,0.239,44.92221,-85.88328,184.0,203.4,-0.0612244897959183,-0.4311926605504587,0.4545454545454545
25.3,0.25,17.3,15.8,0.083,0.116,40.22962,-106.0598,2590.0,1285.7,0.048087048087048,0.3897389738973897,-0.3754074074074074
34.7,6.2,29.6,29.2,0.17,0.173,27.34383,-82.15661,15.0,259.5,-0.0581311898952203,0.1737278637076888,-0.1406908171861836
33.3,7.44,28.6,28.1,0.165,0.166,28.82398,-81.39738,16.0,166.7,-0.0927487352445193,0.1145272867025365,-0.1521608385600137
28.5,3.28,23.5,21.9,0.177,0.182,39.99716,-77.73308,220.0,137.3,0.0634920634920634,0.248008497079129,-0.3955442393380012
27.0,1.42,21.8,20.2,0.255,0.259,44.92263,-93.60317,280.0,436.0,-0.0287539936102236,-0.1459074733096085,0.6577181208053692
31.0,0.0,21.5,19.1,0.058,0.088,40.49884,-123.09938,877.0,281.1,0.3673788431474726,0.7799927509967379,-0.5120292887029289
